id;UTM;Y;X;Departamento;Distrito;Localidad;Proyecto;Programa;Cantidad de Viviendas;Empresa;Dato de contacto - Empresa;SAT - Servicio de Asistencia Técnica;Dato de contacto - SAT;EAT - Equipo de Asistencia Técnica;Dato de contacto - EAT;Estado de Obra;Porcentaje de avance;Licitación Nº;Contrato N°;Origen del terreno;Calificación provisional;Fecha de inicio de obra;Fecha de entrega de obra;Observaciones
1;21J;7172287;734818;Alto Paraná;Presidente Franco;;Asentamiento Oñondivepá;FOCEM;98;CONSORCIO KRIMEA ;Ing. Daniel Umza;No corresponde;;No corresponde;;En ejecución;85,25%;001/11;001/12;Municipal;;4/1/13;;
2;21K;7503919;627800;Amambay;Pedro Juan Caballero;Colonia Vice Pdte. Sánchez;Asentamientos Virgen de los Pobres, Pu'a Pyahu y Santa Ana;FOCEM;116;MM S.A.;Ing. Jorge Moreno;No corresponde;;No corresponde;;En ejecución;70,40%;001/11;002/12;Gobernación;;9/1/13;25/11/2014(conforme última prórroga);
3;21J;6982279;604841;Itapúa;Encarnación;;Barrio Santo Domingo;FOCEM;185;M&T S.A.;Arq. Julio Mendoza - Arq. Luis Daguerre;No corresponde;;No corresponde;;Paralizado;0,05%;001/11;003/12;SENAVITAT;;6/5/13;;
4;21J;7201597;432944;Capital;Asunción;Asunción;Capitán Bozzano;Vy'a Renda;101;Consorcio Yhaguy;;No corresponde;;No corresponde;;En ejecución;En ejecución;;;;;A definir según contrato;A definir según contrato;
5;21J;7226538;443170;Presidente Hayes;Villa Hayes;Villa Hayes;Rosa Mística;Vy'a Renda;240;EQUIPAC (Lote 1 - Viviendas) y FENAR (Lote 2 - Infraestructura);EQUIPAC: Lic. Edgar Villalba. FENAR: Lic. Nery Rumich;No corresponde;;No corresponde;;En ejecución;En ejecución;002/14;026/14 y 027/14;Municipal;;10/10/14;A definir según contrato;
6;21J;7145228;557242;Guairá;Villarrica;Villarrica;Villarrica;Viviendas Económicas;100;Nicolás Amarilla Díaz;;No corresponde;;No corresponde;;En licitación;En licitación;07/14;En licitación;;;A definir según contrato;A definir según contrato;Obra paralizada a ser reactivada mediante esta licitación.
7;21J;7173540;470706;Paraguarí;Yaguarón;Yaguarón;Mbaritu;Viviendas Económicas;75;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;03/14;En licitación;;;A definir según contrato;A definir según contrato;Obra paralizada a ser reactivada mediante esta licitación.
8;21K;7530076;545957;Amambay;Bella Vista;;Nueva Esperanza;Sembrando Oportunidades;80;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
9;21K;7502846;604789;Amambay;Pedro Juan Caballero;;María Auxiliadora;Sembrando Oportunidades;40;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
10;21K;7501391;588205;Amambay;Pedro Juan Caballero;;Santa Clara;Sembrando Oportunidades;100;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
11;21K;7534038;512987;Concepción;Sargento José Félix López;;Norte Pyahu;Sembrando Oportunidades;130;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
12;21K;7412324;538095;Concepción;Azotey;;Curuzú de Hierro;Sembrando Oportunidades;280;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
13;21K;7430293;530716;Concepción;Horqueta;;Arroyito;Sembrando Oportunidades;300;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
14;21K;7422902;514360;Concepción;Horqueta;;Alemán Cué (Oro Verde);Sembrando Oportunidades;80;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
15;21J;7338585;623275;Canindeyú;Villa Ygatymi;;Marqueti (Ko´e Porá);Sembrando Oportunidades;160;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
16;21J;7328316;594613;Canindeyú;Curuguaty;;Maracana;Sembrando Oportunidades;130;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
17;21J;7087908;532229;Caazapá;Bertoni;;Maria Auxiliadora;Sembrando Oportunidades;117;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
18;21J;7096157;639903;Caazapá;Tavai;;7 de Diciembre;Sembrando Oportunidades;160;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
19;21J;7045304;523799;Misiones;Santa Rosa;;Ka'atygue;Sembrando Oportunidades;63;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
20;21J;7260959;623679;Caaguazú;Yhú; ;Sidepar 7000 (Col. Nueva Esperanza);Sembrando Oportunidades;200;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
21;21J;7082747;715076;Itapúa;Carlos A. López;;Santa Isabel;Sembrando Oportunidades;80;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
22;21J;7042417;695754;Itapúa;Yatytay;;San Gerónimo;Sembrando Oportunidades;70;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
23;21J;7336813;498680;San Pedro;San Pedro del Ycuamandyju;;Liz Expedita (Tape Ka'aguy);Sembrando Oportunidades;100;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
24;21K;7352839;536633;San Pedro;Lima;;Paso Tuna;Sembrando Oportunidades;140;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
25;21K;7368634;594467;San Pedro;Santa Rosa del Aguaray;;Yaguarete Forest;Sembrando Oportunidades;400;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
26;21K;7399373;520716;San Pedro;Tacuatí;;Tacuati Poty;Sembrando Oportunidades;160;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
27;21J;7155651;612611;Guairá;Paso Yobai;;Silvera Cué;Sembrando Oportunidades;80;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
28;21J;7159892;672614;Alto Paraná;San Cristóbal;;1º de Mayo del Guembety;Sembrando Oportunidades;160;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;08/2014;En licitación;INDERT;;A definir según contrato;A definir según contrato;
29;21J;7318716;573139;San Pedro;Liberación;;Arroyo Morotí;Sembrando Oportunidades;240;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
30;21J;7310541;551772;San Pedro;Guayaibí;;Toro Pirú II;Sembrando Oportunidades;160;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
31;21J;7288861;582315;San Pedro;Yrybucuá;;Vy`a Renda;Sembrando Oportunidades;160;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
32;21J;7286260;575990;San Pedro;Yrybucuá;;Aleman Cué;Sembrando Oportunidades;110;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
33;21J;7311575;675575;Canindeyú;Ybypytá;;Britez Cué (Ybyrarobana);Sembrando Oportunidades;200;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
34;21J;7278481;621079;Canindeyú;Yasy Kañy;;Ex Acepar (Colonia San Juan);Sembrando Oportunidades;180;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
35;21J;7275443;629109;Canindeyú;Curuguaty;;Araujo Cué (Col. Santa Rosa mí);Sembrando Oportunidades;200;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
36;21J;7222145;568544;Caaguazú;Cecilio Báez;;San Agustin (Simon Bolivar);Sembrando Oportunidades;130;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
37;21J;7218747;694218;Alto Paraná;Ytakyry;;Acaray Costa;Sembrando Oportunidades;130;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
38;21J;7252459;720149;Alto Paraná;Minga Porá;;Vy´a Renda (Lote 9);Sembrando Oportunidades;140;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
39;21J;7166084;711936;Alto Paraná;Minga Guazú;;21 de setiembre;Sembrando Oportunidades;100;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
40;21J;7157186;707584;Alto Paraná;Tavapy;;Tavapy II;Sembrando Oportunidades;230;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;001/14;En licitación;INDERT;;A definir según contrato;A definir según contrato;
41;21J;7263209;597611;San Pedro;Capiibary;;Asentamiento 1° de Marzo;Che Tapýi;102;Ing. Roberto Chávez;Tel.: 0521 203 629 - 0521 203 496 - ingrobertochavezayala@gmail.com;No corresponde;;No corresponde;;En ejecución;41,01%;001/14;001/2014;SAS;;30/7/14;;
42;21J;7327116;736318;Canindeyú;Gral. Francisco Caballero Álvarez;;Asentamiento Juan Pablo II;Che Tapýi;135;M y M Ingeniería;Tel.: 021 227 982 - luisfermelg@gmail.com - vaca.solis@hotmail.com;No corresponde;;No corresponde;;En ejecución;43,11%;001/14;003/2014;SAS;;30/7/14;;
43;21J;7417163;493308;Concepción;Horqueta;;Asentamientos María Auxiliadora Bases II y IV;Che Tapýi;110;ICSA Iniciativas Constructivas S.A.;Tel.: 021 331 383 - iniciativas_sa@hotmail.com - celso_moreno@hotmail.com;No corresponde;;No corresponde;;En ejecución;67,39%;001/14;001/2014;SAS;;29/7/14;;
44;21J;7413904;455497;Concepción;Concepción;;Asentamiento Niño Salvador del Mundo;Che Tapýi;81;Puntal Construcciones;Tel.: 021 290 225 - 021 281 665 - puntalconstrucciones@hotmail.com;No corresponde;;No corresponde;;En ejecución;44,89%;001/14;001/2014;SAS;;30/7/14;;
45;21J;7110538;665421;Caazapá;San Juan Nepomuceno;;Asentamiento Tava Joajú Renda;Che Tapýi;107;Ing. Alejandro R. Pérez Heras;Tel.: 021 214 215/16 - aleperher@tigo.com.py;No corresponde;;No corresponde;;En ejecución;56,53%;001/14;006/2014;SAS;;29/7/14;;
46;21J;7006235;637326;Itapúa;Obligado;;Asentamiento Milagros I;Che Tapýi;80;Ing. Jorge Díaz Lavigne;Tel.: 021 675 475 - jorgediaz.py@hotmail.es;No corresponde;;No corresponde;;En ejecución;50,66%;001/14;007/2014;SAS;;29/7/14;;
47;21J;6973208;617868;Itapúa;Cambyretá;;Asentamiento Nuevo Amanecer III;Che Tapýi;141;Corporación Constructiva S.R.L;;No corresponde;;No corresponde;;En ejecución;0%;001/14;;;;;;
48;21J;7151472;519091;Paraguarí;Ybytymí;;Ybytymí;Che Tapýi;70;Arq. Celso Moreno;Tel.: 021 303 261 - celso_moreno@hotmail.com;No corresponde;;No corresponde;;En ejecución;38,89%;001/14;009/2014;Municipal;;29/7/14;;
49;21J;7032324;401480;Ñeembucú;Tacuaras;;Tacuaras;Che Tapýi;70;Alfa y Omega S.A;Tel.: 021 504 416 - gustavomodesto.m@hotmail.com;No corresponde;;No corresponde;;En ejecución;65,17%;001/14;001/2014;Municipal;;8/8/14;;
50;20K;7471319;793300;Boquerón;Mariscal Estigarribia;;Comunidad Indígena Campo Alegre - etnia Nivaclé;Che Tapýi;150;Arquitectónica S.R.L.;Tel.: 021 213 059 - 021 224 951 - contacto@arquitectonica.com.py;No corresponde;;No corresponde;;En ejecución;58,87%;001/14;011/2014;INDERT;;30/7/14;;
51;21K;7496057;202583;Boquerón;Loma Plata;;Comunidad Indígena Nazareth (Yalve Sanga) etnia Enlhet - Lengua;Che Tapýi;150;Ing. Fernando Moreno;Tel.: 021 301 817 - 021 300 679 - morenoconstructora@gmail.com;No corresponde;;No corresponde;;En ejecución;53,66%;001/14;001/2014;INDERT;;29/7/14;;
52;21J;7211447;446301;Central;Mariano Roque Alonso;Mariano Roque Alonso;Construccion de 5 bloques de 8 Departamentos cada uno;Viviendas Económicas;40;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
53;21J;7205066;450942;Central;Luque  ;Luque  ;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
54;21J;7197308;447664;Central;San Lorenzo;San Lorenzo;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
55;21J;7199491;445703;Central;Fernando de la Mora;Fernando de la Mora;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
56;21J;7192582;440921;Central;Villa Elisa;Villa Elisa;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
57;21J;7196617;438581;Central;Lambaré;Lambaré;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
58;21J;7175693;739529;Alto Paraná;Ciudad del Este;Ciudad del Este;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
59;21J;7336166;773137;Canindeyú;Salto del Guairá;Salto del Guairá;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
60;21J;6985154;607551;Itapúa;Encarnación;Encarnación;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
61;21J;7188800;555312;Caaguazú;Coronel Oviedo;Coronel Oviedo;Construccion de 3 bloques de 8 Departamentos cada uno;Viviendas Económicas;24;En proceso licitatorio;;No corresponde;;No corresponde;;En licitación;En licitación;09/14;En licitación;Terreno ofertado por la empresa constructora;;A definir según contrato;A definir según contrato;Coordenada corresponde al centro del distrito. La localización de las obras aún no se tienen definidas.
62;21J;7193856;485461;Cordillera;Caacupé;Isla Guazú;Cooperativa Reina de la Cordillera;FONCOOP;30;No corresponde;;No corresponde;;COTAS;Lic. Eugenia Vergara;Culminada;100%;No corresponde;;;;Mayo del 2011;;
63;21J;7207065;449652;Central;Luque;Zona Aeropuerto;Cooperativa Exsanjose Ltda.;FONCOOP;40;No corresponde;;No corresponde;;COTAS;Lic. Eugenia Vergara;En ejecución;85%;No corresponde;;;;Mayo del 2011;;
64;21J;7216249;452847;Central;Limpio;;Cooperativa Tava Rory Ltda. (Covitava I);FONCOOP;40;No corresponde;;No corresponde;;COTAS;Lic. Eugenia Vergara;Culminada;100%;No corresponde;;;;Marzo del 2011;;
65;21J;7185854;454561;Central;J. A. Saldívar;;Cooperativa Toledo Cañada I;FONCOOP;40;No corresponde;;No corresponde;;J.L CONSTRUCCIONES;Ing. Lahe;Culminada;100%;No corresponde;;;;Marzo del 2012;;
66;21J;7210839;451566;Central;Luque;;COOSOFAM;FONCOOP;30;No corresponde;;No corresponde;;COOPERATES;Sonia  Gutierrez;Culminada;90%;No corresponde;;;;Marzo del 2012;;
67;21J;7190829;456249;Central;Capiatá;;Coop. Ñapua Hagua Ltda.;FONCOOP;38;No corresponde;;No corresponde;;AREA ;Arq. Hugo Acevedo;Culminada;100%;No corresponde;;;;Agosto del 2012;;
68;21J;7183986;448622;Central;Ypané;;Coop. Mi Casita;FONCOOP;40;No corresponde;;No corresponde;;AREA ;Arq. Hugo Acevedo;Culminada;100%;No corresponde;;;;Setiembre del 2012;;
69;21J;7051194;487275;Misiones;San Juan Bautista;;Coop. San Juan Bautista;FONCOOP;40;No corresponde;;No corresponde;;COOPERATES;Sonia  Gutierrez;En ejecución;50%;No corresponde;;;;Marzo del 2012;;
70;21J;7183596;463372;Central;J. A. Saldívar;;Coop. 8 De Marzo;FONCOOP;40;No corresponde;;No corresponde;;J.L CONSTRUCCIONES;Ing. Lahe;Culminada;100%;No corresponde;;;;Diciembre del 2012;;
71;21J;7214283;446372;Central;Mariano Roque Alonso;;Coop. Santa Bárbara;FONCOOP;30;No corresponde;;No corresponde;;COTAS;Lic. Eugenia Vergara;En ejecución;;No corresponde;;;;Agosto del 2012;;
72;21J;7212548;452659;Central;Limpio;;Coovidi Ltda.;FONCOOP;24;No corresponde;;No corresponde;;Ilse Coronel;Arq. Ilse Cronel;Culminada;90%;No corresponde;;;;Mayo del 2013;;
73;21J;7183691;452364;Central;Ypané;;Coop. Nuestra Señora Lujan;FONCOOP;40;No corresponde;;No corresponde;;COTAS;Lic. Eugenia Vergara;En ejecución;35%;No corresponde;;;;Abril del 2014;;
74;21J;7216249;452847;Central;Limpio;;Cooperativa Tava Rory Ltda. (Covitava II);FONCOOP;35;No corresponde;;No corresponde;;COTAS;Lic. Eugenia Vergara;En ejecución;45%;No corresponde;;;;Enero del 2014;;
75;21J;7000054;391207;Ñeembucú;Desmochado;;Coop. Desmochado Ltda.;FONCOOP;20;No corresponde;;No corresponde;;Arq. Osvaldo Granada;Arq. Osvaldo Granada;En ejecución;35%;No corresponde;;;;Marzo del 2014;;
77;21J;7209230;453121;Central;Luque;Itapuami;Coop. 8 De Marzo;FONCOOP;40;No corresponde;;No corresponde;;Óscar Barboza;Óscar Barboza ;En ejecución;;No corresponde;;;;no desembolsado hasta ahora;;
84;21K;7670976;409330;Alto Paraguay;Fuerte Olimpo;;Santa Teresita;Pueblos Originarios;20;Ing. Lucio Cabañas;Teléfono: 511-466 Veteranos de la Guerra del Chaco 472 c/ Araucanos;No corresponde;;No corresponde;;Paralizado;0,00%;011/11;;;;;;
85;21K;7758976;378545;Alto Paraguay;Bahía Negra;Puerto Diana;Puerto Diana;Pueblos Originarios;20;J.R. Constructora;Representante: Arq. Juan Rodríguez Lezcano. Asunción, Paraguay, Pitiantuta entre Amistad y Concordia. ;No corresponde;;No corresponde;;Paralizado;10,00%;003/11;;;;;;
86;21K;7752436;384143;Alto Paraguay;Bahía Negra;Puerto Helena;Puerto Helena;Pueblos Originarios;10;J.R. Constructora;Representante: Arq. Juan Rodríguez Lezcano. Asunción, Paraguay, Pitiantuta entre Amistad y Concordia. ;No corresponde;;No corresponde;;Paralizado;10,00%;003/11;;;;;;
87;21K;7773095;377113;Alto Paraguay;Bahía Negra;Puerto Caballo;Puerto Caballo;Pueblos Originarios;16;J.R. Constructora;Representante: Arq. Juan Rodríguez Lezcano. Asunción, Paraguay, Pitiantuta entre Amistad y Concordia. ;No corresponde;;No corresponde;;Paralizado;0,00%;003/11;;;;;;
88;21K;7497906;211537;Boquerón;Tte.1º Manuel Irala Fernandez;Jerico;Jerico;Pueblos Originarios;30;J.R. Constructora;Representante: Arq. Juan Rodríguez Lezcano. Asunción, Paraguay, Pitiantuta entre Amistad y Concordia. ;No corresponde;;No corresponde;;Paralizado;95,00%;003/11;;;;;;
89;20K;7561286;749509;Boquerón;Mariscal Estigarribia;;Santa Teresita - Mcal.Estigarribia;Pueblos Originarios;20;J.R. Constructora;Representante: Arq. Juan Rodríguez Lezcano. Asunción, Paraguay, Pitiantuta entre Amistad y Concordia. ;No corresponde;;No corresponde;;Paralizado;95,00%;003/11;;;;;;
90;21J;7218631;594304;Caaguazú;San Joaquín;;Monday mi - San Joaquin;Pueblos Originarios;42;Consorcio Pro Hogar;Representante: Sr. Oscar G. Martinez. Asuncion, Paraguay, RI 2 de Mayo casi Mariscal Lopez.;No corresponde;;No corresponde;;Paralizado;18,00%;002/13;;;;;;
91;21J;7205807;595353;Caaguazú;San Martin;;San Martin;Pueblos Originarios;10;Consorcio Pro Hogar;Representante: Sr. Oscar G. Martinez. Asuncion, Paraguay, RI 2 de Mayo casi Mariscal Lopez.;No corresponde;;No corresponde;;Paralizado;76,71%;003/11;;;;;;
92;21J;7182545;643396;Caaguazú;Nueva Espéranza;;Nueva Esperanza;Pueblos Originarios;11;Consorcio Pro Hogar;Representante: Sr. Oscar G. Martinez. Asuncion, Paraguay, RI 2 de Mayo casi Mariscal Lopez.;No corresponde;;No corresponde;;Paralizado;76,71%;003/11;;;;;;
93;21J;7263674;619161;Caaguazú;Alikakue;;Alikakue;Pueblos Originarios;20;Consorcio Pro Hogar;Representante: Sr. Oscar G. Martinez. Asuncion, Paraguay, RI 2 de Mayo casi Mariscal Lopez.;No corresponde;;No corresponde;;Paralizado;76,71%;003/11;;;;;;
94;21J;7217492;595180;Caaguazú;Caaguazu;;Tekojoja Pora - Campito;Pueblos Originarios;18;Consorcio Pro Hogar;Representante: Sr. Oscar G. Martinez. Asuncion, Paraguay, RI 2 de Mayo casi Mariscal Lopez.;No corresponde;;No corresponde;;Paralizado;76,71%;003/11;;;;;;
95;21J;7182545;643396;Caaguazú;Dr. J. Eulogio Estigarribia;;Nueva Esperanza;Pueblos Originarios;12;ELEMEC S.R.L.;Representante. Ing. Silvio Domiguez Morales. Lambare, Paraguay, Rio Ñucunday 3625 casi Tte. T  Yegros;No corresponde;;No corresponde;;Paralizado;55,00%;011/11;;;;;;
96;21J;7191194;599996;Caaguazú;Caaguazu;;Joyvi-Caaguazu;Pueblos Originarios;25;VIGA CONSTRUCCIONES;;No corresponde;;No corresponde;;Paralizado;15,00%;009/12;;;;;;
97;21J;7130091;621417;Caazapá;Caazapá;;Tekojoja puahu - Cesina;Pueblos Originarios;18;Consorcio Pro Hogar;Representante: Sr. Oscar G. Martinez. Asuncion, Paraguay, RI 2 de Mayo casi Mariscal Lopez.;No corresponde;;No corresponde;;Paralizado;82,61%;003/11;;;;;;
98;21J;7130091;621417;Caazapá;Caazapá;;Tekoyoya Pyahu - Cesina;Pueblos Originarios;14;ELEMEC S.R.L.;Representante: Ing. Silvio Domiguez Morales. Lambare, Paraguay, Rio Ñucunday 3625 casi Tte. T  Yegros;No corresponde;;No corresponde;;Paralizado;73,00%;011/11;;;;;;
99;21J;7128219;613325;Caazapá;Abaí;;Cerrito-Abai;Pueblos Originarios;20;GER.COM;Representante. Esteban Gerconpan Gomez, Ita, Paraguay, Aveiro N°1963 casi Francisco Solano Lopez;No corresponde;;No corresponde;;En ejecución;47,00%;015/12;;;;;;
100;21J;7316598;634939;Canindeyú;Curuguaty;;Paso Real;Pueblos Originarios;18;Consorcio Pro Hogar;Representante: Sr. Oscar G. Martinez. Asuncion, Paraguay, RI 2 de Mayo casi Mariscal Lopez.;No corresponde;;No corresponde;;Paralizado;82,61%;003/11;;;;;;
101;21J;7316775;675771;Canindeyú;Corpus Christi;;Koe Puahu Poty (Brítez cué);Pueblos Originarios;7;ELEMEC S.R.L.;Representante: Ing. Silvio Domiguez Morales. Lambare, Paraguay, Rio Ñucunday 3625 casi Tte. T  Yegros;No corresponde;;No corresponde;;Paralizado;40,00%;011/11;;;;;;
102;21J;7316775;675771;Canindeyú;Curuguaty;;Koe Puahu;Pueblos Originarios;17;ELEMEC S.R.L.;Representante: Ing. Silvio Domiguez Morales. Lambare, Paraguay, Rio Ñucunday 3625 casi Tte. T  Yegros;No corresponde;;No corresponde;;Paralizado;45,00%;011/11;;;;;;
103;21J;7299937;628409;Canindeyú;Curuguaty;;La Fortuna 12 de Junio - Lote 6;Pueblos Originarios;15;GER.COM;Representante: Esteban Gerconpan Gomez, Ita, Paraguay, Aveiro N°1963 casi Francisco Solano Lopez;No corresponde;;No corresponde;;En ejecución;40,00%;015/12;;;;;;
104;21J;7298076;631075;Canindeyú;Curuguaty;;La Fortuna B° Cordillera - Lote 5;Pueblos Originarios;20;GER.COM;Representante: Esteban Gerconpan Gomez, Ita, Paraguay, Aveiro N°1963 casi Francisco Solano Lopez;No corresponde;;No corresponde;;En ejecución;45,00%;015/12;;;;;;
105;21J;7302200;641075;Canindeyú;Curuguaty;;Yhovy;Pueblos Originarios;6;GER.COM;Representante: Esteban Gerconpan Gomez, Ita, Paraguay, Aveiro N°1963 casi Francisco Solano Lopez;No corresponde;;No corresponde;;En ejecución;45,00%;015/12;;;;;;
106;21J;7308152;641719;Canindeyú;Curuguaty;;Primero de Marzo;Pueblos Originarios;12;GER.COM;Representante: Esteban Gerconpan Gomez, Ita, Paraguay, Aveiro N°1963 casi Francisco Solano Lopez;No corresponde;;No corresponde;;En ejecución;45,00%;015/12;;;;;;
107;21J;7284256;624665;Canindeyú;Yasy Kañy;;Tekojoja;Pueblos Originarios;20;Grupo V.P.S.A.;Representante: Lic.Edgar Villalba Piñeiro, Asuncion, Paraguay, Kubischeck N°496 Esq. Cerro Cora.;No corresponde;;No corresponde;;Paralizado;45,00%;003/11;;;;;;
